event_name,venue,start_date,start_time,end_time,type,estimate_attendence,source_url,attendance_source_url
Lễ hội truyền thống đền Kim Liên năm 2026,"Di tích đền Kim Liên, số 148 phố Kim Hoa, phường Văn Miếu - Quốc Tử Giám, thành phố Hà Nội",01/05/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/4994-e4994-le-hoi-truyen-thong-di-tich-thang-long-tu-tran-den-kim-lien-nam-2026,
Phiên chợ vùng cao “Sắc màu Lai Châu”,"Làng Văn hóa - Du lịch các dân tộc Việt Nam, Hà Nội",01/05/26,00:00,23:59,festival,,https://lehoivietnam.com.vn/vi/su-kien/5018-e5018-chuoi-hoat-dong-tai-lang-van-hoa-du-lich-cac-dan-toc-viet-nam-diem-nhan-cho-phien-sac-mau-lai-chau,
"Triển lãm ""Trời, non, nước | Allusive Panorama""","Nhà Thái Học, Văn Miếu - Quốc Tử Giám, Hà Nội",01/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/4228-e4228-trien-lam-troi-non-nuoc,
Triển lãm mỹ thuật “Giai điệu Thống nhất” và “Việt Nam quê hương tôi”,"tầng 1, tòa nhà 47 Hàng Dầu, Sở Văn hóa và Thể thao Hà Nội, thành phố Hà Nội",01/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5142-e5142-trien-lam-my-thuat-giai-dieu-thong-nhat,
Triển lãm ảnh tư liệu “Âm vang ngày mới”,"Khu di sản Hoàng thành Thăng Long, số 19 Hoàng Diệu, Ba Đình, Hà Nội",01/05/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5157-e5157-trien-lam-anh-tu-lieu-am-vang-ngay-moi,
Hà Nội vs SHB Đà Nẵng,SVĐ Hàng Đẫy,01/05/26,19:15,21:15,football,5000,https://vpf.vn/match/ha-noi-vs-shb-da-nang-7/,
"Triển lãm ""Hẹn ước mùa sau""","tại Nhà Triển lãm Mỹ thuật (16 Ngô Quyền, Hà Nội)",01/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5318-e5318-trien-lam-hen-uoc-mua-sau,
"Triển lãm ""Nét họa áo ta""","Văn Miếu - Quốc Tử Giám, Hà Nội",01/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5574-e5574-trien-lam-net-hoa-ao-ta,
Triển lãm ảnh “115 ảnh hoạt động của Chủ tịch Hồ Chí Minh trong Khu Phủ Chủ tịch”,"tại Hà Nội, Khu Di tích Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch",01/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5661-e5661-trien-lam-anh-115-anh-hoat-dong-cua-chu-tich-ho-chi-minh-trong-khu-phu-chu-tich,
"Triển lãm “AS ABOVE, SO BELOW | NHƯ TRÊN, NHƯ DƯỚI”","tại Trung tâm Nghệ thuật đương đại Vincom (VCCA), B1-R3 Vincom Mega Mall Royal City, 72A Nguyễn Trãi, phường Thanh Xuân, Hà Nội.",01/06/26,00:00,23:59,exhibition,,https://lehoivietnam.com.vn/vi/su-kien/5509-e5509-trien-lam-as-above-so-below-nhu-tren-nhu-duoi,
"Triển lãm ""Sĩ tử 3 - Chuyện sĩ tử"" - 950 câu chuyện học tập trong không gian di sản Văn Miếu - Quốc Tử Giám",Văn Miếu - Quốc Tử Giám,01/06/26,08:00,18:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/Exhibition-%22S%C4%A9-T%E1%BB%AD-3-Chuy%E1%BB%87n-S%C4%A9-T%E1%BB%AD%22-950-learning-stories-in-the-heritage-space-of-V%C4%83n-Mi%E1%BA%BFu-Qu%E1%BB%91c-T%E1%BB%AD-Gi%C3%A1m,
"""Những chiếc cổng"" - Cuộc đối thoại giữa quá khứ và hiện tại",Văn Miếu - Quốc Tử Giám,01/08/26,09:00,09:00,cultural_event,,https://vanmieu.gov.vn/vi/events/event-calendar/ended-events/%22Nh%E1%BB%AFng-chi%E1%BA%BFc-c%E1%BB%95ng%22-Cu%E1%BB%99c-%C4%91%E1%BB%91i-tho%E1%BA%A1i-gi%E1%BB%AFa-qu%C3%A1-kh%E1%BB%A9-v%C3%A0-hi%E1%BB%87n-t%E1%BA%A1i,
