date,holiday_name,is_holiday
2024-01-01,Tết Dương Lịch,1
2024-02-10,Tết Nguyên Đán 2024,1
2024-02-11,Tết Nguyên Đán 2024,1
2024-02-12,Tết Nguyên Đán 2024,1
2024-02-13,Tết Nguyên Đán 2024,1
2024-02-14,Tết Nguyên Đán 2024,1
2024-02-15,Tết Nguyên Đán 2024,1
2024-02-16,Tết Nguyên Đán 2024,1
2024-02-17,Tết Nguyên Đán 2024,1
2024-02-18,Tết Nguyên Đán 2024,1
2024-04-18,Giỗ Tổ Hùng Vương,1
2024-04-30,Ngày Thống nhất,1
2024-05-01,Ngày Lao động,1
2024-09-02,Quốc Khánh,1
2024-09-02,Nghỉ bù Quốc Khánh,1
2025-01-01,Tết Dương Lịch,1
2025-01-29,Tết Nguyên Đán 2025,1
2025-01-30,Tết Nguyên Đán 2025,1
2025-01-31,Tết Nguyên Đán 2025,1
2025-02-01,Tết Nguyên Đán 2025,1
2025-02-02,Tết Nguyên Đán 2025,1
2025-02-03,Tết Nguyên Đán 2025,1
2025-02-04,Tết Nguyên Đán 2025,1
2025-02-05,Tết Nguyên Đán 2025,1
2025-04-07,Giỗ Tổ Hùng Vương,1
2025-04-30,Ngày Thống nhất,1
2025-05-01,Ngày Lao động,1
2025-09-02,Quốc Khánh,1
